epoch,step,train_loss,val_loss
0,49,2.1799259185791016,
0,99,1.7745290994644165,
0,124,,1.7837679386138916
1,149,1.6199443340301514,
1,199,1.433655858039856,
1,249,1.6755708456039429,
1,249,,1.6161490678787231
2,299,1.34255051612854,
2,349,1.3735660314559937,
2,374,,1.5607972145080566
3,399,1.2156505584716797,
3,449,1.2007871866226196,
3,499,1.3848053216934204,
3,499,,1.4982023239135742
4,549,1.2151076793670654,
4,599,1.0700888633728027,
4,624,,1.5050252676010132
5,649,0.9428393244743347,
5,699,1.2266706228256226,
5,749,1.1138176918029785,
5,749,,1.5843369960784912
6,799,0.8885663151741028,
6,849,1.1036447286605835,
6,874,,1.658058762550354
7,899,0.5888543725013733,
7,949,0.666475236415863,
7,999,0.8656192421913147,
7,999,,1.772664189338684
8,1049,0.7843762636184692,
8,1099,0.6487839818000793,
8,1124,,1.8195277452468872
9,1149,0.34021663665771484,
9,1199,0.4802260994911194,
9,1249,0.6018118262290955,
9,1249,,1.996066689491272
