epoch,step,train_loss,val_loss
0,49,1.8915685415267944,
0,99,1.9615442752838135,
0,124,,1.766194224357605
1,149,1.5439062118530273,
1,199,1.3858619928359985,
1,249,1.7605115175247192,
1,249,,1.6528902053833008
2,299,1.6216700077056885,
2,349,1.37682044506073,
2,374,,1.5598225593566895
3,399,1.2086479663848877,
3,449,1.3563458919525146,
3,499,1.2412595748901367,
3,499,,1.5724542140960693
4,549,1.2322511672973633,
4,599,1.1998207569122314,
4,624,,1.4885220527648926
5,649,0.7449609637260437,
5,699,0.9562343955039978,
5,749,1.0249992609024048,
5,749,,1.5125144720077515
6,799,0.5291962027549744,
6,849,0.9317702651023865,
6,874,,1.6518858671188354
7,899,0.9102484583854675,
7,949,0.6841911673545837,
7,999,0.5537210702896118,
7,999,,1.6584550142288208
8,1049,0.4636225700378418,
8,1099,0.827136218547821,
8,1124,,1.8816989660263062
9,1149,0.5773725509643555,
9,1199,0.42143744230270386,
9,1249,0.645628809928894,
9,1249,,1.9637112617492676
