epoch,step,train_loss,val_loss
0,49,1.8834223747253418,
0,99,1.5975086688995361,
0,124,,1.53654146194458
1,149,1.5431276559829712,
1,199,1.2569564580917358,
1,249,1.365432858467102,
1,249,,1.3988016843795776
2,299,1.2338731288909912,
2,349,1.2739098072052002,
2,374,,1.3097187280654907
3,399,1.1530762910842896,
3,449,1.3117440938949585,
3,499,1.413641095161438,
3,499,,1.237432837486267
4,549,0.9152862429618835,
4,599,1.143114686012268,
4,624,,1.1907248497009277
5,649,0.8723236918449402,
5,699,0.9016230702400208,
5,749,0.979557991027832,
5,749,,1.1957448720932007
6,799,1.053779125213623,
6,849,0.6214726567268372,
6,874,,1.146600604057312
7,899,0.6270655989646912,
7,949,0.6721320748329163,
7,999,0.8786379098892212,
7,999,,1.1612577438354492
8,1049,0.6739310026168823,
8,1099,0.7272239327430725,
8,1124,,1.1725249290466309
9,1149,0.5858636498451233,
9,1199,0.5224603414535522,
9,1249,0.40116214752197266,
9,1249,,1.2284133434295654
